,UMAP_1,UMAP_2
cell_00773,8.516886,-4.7793517
cell_00774,-6.283573,0.9516549
cell_00775,10.623667,-1.8895909
cell_00776,5.6675563,-1.6123418
cell_00777,-4.5240355,4.7802377
cell_00778,7.9882426,-4.951703
cell_00779,7.666226,-4.983547
cell_00780,-4.589328,5.3965435
cell_00781,7.1459208,-5.375866
cell_00782,3.2522898,4.3166423
cell_00783,6.2371445,-2.053907
cell_00784,9.520644,-2.4307985
cell_00785,-0.8400558,6.7901907
cell_00786,8.453861,-5.274415
cell_00787,-2.3560548,7.072539
cell_00788,7.400873,-4.5839534
cell_00789,6.2067223,-2.4986079
cell_00790,-3.554201,4.8353395
cell_00791,1.7256917,6.3028874
cell_00792,-2.6378984,6.880291
cell_00793,-4.50519,3.1672516
cell_00794,-5.3947663,1.0380886
cell_00795,-1.647903,6.9930086
cell_00796,-6.598027,1.5557477
cell_00797,-4.1517034,3.4857047
cell_00798,7.4417963,-2.7931566
cell_00799,8.092323,-5.025551
cell_00800,7.846831,-3.546437
cell_00801,-3.0647404,7.3728228
cell_00802,7.8641458,-2.5022142
cell_00803,5.9771094,-1.9496626
cell_00804,-4.1310825,4.2469993
cell_00805,-4.999558,3.7986722
cell_00806,7.5898805,-4.9736447
cell_00807,-4.557484,5.1594105
cell_00808,3.9996028,2.2585804
cell_00809,7.244863,-4.375794
cell_00810,-5.807331,1.132912
cell_00811,-5.620075,0.9068436
cell_00812,7.2040687,-4.6667
cell_00813,4.861755,-0.73525816
cell_00814,-5.245173,4.716647
cell_00815,9.680612,-4.0602202
cell_00816,9.806094,-2.754462
cell_00817,4.205269,0.752654
cell_00818,5.9621887,-2.0955322
cell_00819,-4.0790124,6.0402317
cell_00820,-6.479223,1.6659256
cell_00821,7.6071486,-0.22863415
cell_00822,-4.159531,6.8248544
cell_00823,6.0737944,-3.0989032
cell_00824,10.520519,-2.41478
cell_00825,-6.239211,1.547261
cell_00826,6.1192694,-2.2092876
cell_00827,-5.5546155,5.0204706
cell_00828,8.479106,-5.3284626
cell_00829,-4.3622527,6.209137
cell_00830,7.8169885,-0.22638254
cell_00831,5.361408,-0.22471882
cell_00832,0.9249574,6.454116
cell_00833,7.2602267,-2.9844325
cell_00834,9.084626,-2.1576092
cell_00835,5.711769,-0.4795488
cell_00836,8.559782,-3.034222
cell_00837,9.580355,-1.5883999
cell_00838,1.0704302,5.3539147
cell_00839,3.9645126,2.83077
cell_00840,-6.320006,1.4620252
cell_00841,8.409536,-5.967907
cell_00842,4.1009135,1.1199672
cell_00843,1.3712882,6.263571
cell_00844,-4.6959596,3.1745696
cell_00845,9.648088,-2.9488068
cell_00846,0.22628652,6.9555025
cell_00847,8.047854,-1.7718073
cell_00848,-4.353623,3.7780411
cell_00849,9.675279,-3.7880456
cell_00850,-5.2401915,4.9461975
cell_00851,-3.4263568,5.464759
cell_00852,6.7392797,-3.751648
cell_00853,10.97828,-2.110895
cell_00854,-4.054927,5.515353
cell_00855,3.3291059,4.1141844
cell_00856,9.080662,-1.6616875
cell_00857,8.317263,-4.2450686
cell_00858,0.5338609,6.473125
cell_00859,4.225403,0.88572955
cell_00860,7.1904454,-3.8611083
cell_00861,6.5787644,-4.8510385
cell_00862,9.644285,-1.5260031
cell_00863,5.869691,-0.24726051
cell_00864,-5.1890903,2.829663
cell_00865,7.886038,-4.433475
cell_00866,7.6034145,-5.7347364
cell_00867,10.082346,-0.9216521
cell_00868,-4.7506795,3.0331383
cell_00869,-3.8029733,6.3166375
cell_00870,6.3087773,-4.446844
cell_00871,-5.452101,1.4178848
cell_00872,8.200879,-2.8103108
cell_00873,-0.33326387,6.6825414
cell_00874,6.872207,-4.180776
cell_00875,6.794817,-5.4077945
cell_00876,-0.07835857,6.701161
cell_00877,-2.460566,7.1690993
cell_00878,5.8753433,-2.4453876
cell_00879,6.762906,-0.2196143
cell_00880,1.7620894,6.389568
cell_00881,6.4737525,-2.6400254
cell_00882,9.116526,-2.8316405
cell_00883,3.010941,3.5721362
cell_00884,-4.135345,4.8639255
cell_00885,-0.2972249,7.4432497
cell_00886,0.2681346,7.2661777
cell_00887,-4.017178,3.6746807
cell_00888,-5.3888187,4.1134076
cell_00889,7.706335,-2.574697
cell_00890,-2.0758743,6.412517
cell_00891,9.05893,-4.98453
cell_00892,-4.237641,5.689181
cell_00893,-6.0760555,3.4969442
cell_00894,9.092552,-5.465871
cell_00895,10.771076,-2.2289982
cell_00896,-2.8334079,5.2215633
cell_00897,-5.5910616,4.8521647
cell_00898,-4.047579,4.9001503
cell_00899,5.6195297,1.3177563
cell_00900,2.7077565,3.9294436
cell_00901,-3.5571408,5.688185
cell_00902,-5.347865,1.892398
cell_00903,3.554931,3.067125
cell_00904,8.993871,-4.2419934
cell_00905,7.076624,-3.2189772
cell_00906,3.6778643,1.8072575
cell_00907,-4.851559,2.73566
cell_00908,-3.9127314,6.768089
cell_00909,-3.4080992,6.2389946
cell_00910,10.217217,-1.4440858
cell_00911,8.757099,-2.3771548
cell_00912,8.978358,-1.3021953
cell_00913,9.2261915,-3.283263
cell_00914,8.273523,-5.247327
cell_00915,8.726942,-4.5716195
cell_00916,-5.393842,2.5210743
cell_00917,-5.1355214,3.9206018
cell_00918,-2.3218396,6.877594
cell_00919,5.931584,0.37689254
cell_00920,-4.9818025,3.0624318
cell_00921,8.505922,-5.7424107
cell_00922,7.653313,-1.4650257
cell_00923,5.0786486,0.38304746
cell_00924,-3.973575,4.3031445
cell_00925,-4.2000628,6.402104
cell_00926,-5.6608834,4.3798366
cell_00927,7.259474,-4.807245
cell_00928,6.766106,-0.25281063
cell_00929,8.48376,-0.6309621
cell_00930,-2.4015064,6.9225364
cell_00931,-1.177664,7.0635805
cell_00932,1.0420612,6.3399067
cell_00933,9.497113,-3.3044138
cell_00934,8.48976,-2.6766045
cell_00935,-4.240692,4.69619
cell_00936,9.975602,-2.9741037
cell_00937,-5.768976,4.1006837
cell_00938,8.244622,-4.091305
cell_00939,-5.340181,2.311351
cell_00940,-3.136698,5.167566
cell_00941,9.894522,-2.416086
cell_00942,-3.89409,4.3932548
cell_00943,1.2255398,6.1206613
cell_00944,2.4058363,4.8268304
cell_00945,-3.839379,5.569785
cell_00946,9.866594,-3.0510602
cell_00947,7.5258203,-4.574564
cell_00948,8.08094,-3.8863676
cell_00949,-1.5709699,6.943717
cell_00950,4.031661,1.160651
cell_00951,-3.412411,5.6077347
cell_00952,-4.4854016,5.322197
cell_00953,-4.5012875,5.609165
cell_00954,10.571769,-1.0062426
cell_00955,7.380803,-3.157697
cell_00956,9.657328,-0.8661297
cell_00957,4.0688524,1.3543856
cell_00958,3.9921725,2.771388
cell_00959,5.009342,1.3963333
cell_00960,4.9127088,-0.058276393
cell_00961,2.5718164,4.9829016
cell_00962,-3.821565,3.7424521
cell_00963,-4.4830103,3.5813694
cell_00964,10.237029,-3.2596655
cell_00965,4.240087,3.4935586
cell_00966,6.7202067,-5.1709623
cell_00967,-3.929388,5.1889644
cell_00968,5.739555,-0.4560691
cell_00969,-4.2108946,4.7900405
cell_00970,-4.546395,5.765346
cell_00971,-6.265789,1.5172428
cell_00972,-4.145773,3.6622918
cell_00973,8.684454,-3.7117639
cell_00974,-1.8392371,6.550816
cell_00975,8.333412,-1.2354753
cell_00976,2.842451,3.876985
cell_00977,1.300948,6.4777727
cell_00978,5.597151,1.2256618
cell_00979,-5.3082705,5.110308
cell_00980,10.320988,-1.8625594
cell_00981,8.255897,-4.6880684
cell_00982,7.189937,-4.928702
cell_00983,3.5278583,3.7430472
cell_00984,-5.23564,4.5683966
cell_00985,7.425829,-5.7681785
cell_00986,-1.5013827,6.879946
cell_00987,-6.2759886,1.8551681
cell_00988,-1.7492747,7.3791246
cell_00989,7.9335375,-4.924828
cell_00990,6.1204205,-2.3647346
cell_00991,6.8010044,-4.8526964
cell_00992,6.650363,-4.438173
cell_00993,-4.4155984,5.60153
cell_00994,10.236883,-1.5755312
cell_00995,1.1775738,5.4463897
cell_00996,8.3837185,-0.91034603
cell_00997,-5.6883016,0.8694673
cell_00998,8.04662,-5.971605
cell_00999,-2.8653288,5.414024
cell_01000,-6.1638074,1.8949578
cell_01001,2.9703646,3.1834657
cell_01002,-5.7900147,3.2302685
cell_01003,-4.080897,4.2705765
cell_01004,6.0407996,-2.4033623
cell_01005,1.3833743,6.779493
cell_01006,9.013038,-2.9890862
cell_01007,-2.7872505,6.8798313
cell_01008,6.695083,-3.5400255
cell_01009,3.9599082,3.758311
cell_01010,6.5189834,-3.8001928
cell_01011,7.0703483,-1.6885297
cell_01012,3.0230556,3.7484982
cell_01013,8.704566,-4.834746
cell_01014,-1.4663863,7.0983415
cell_01015,-4.4475718,4.076316
cell_01016,7.3232718,-4.4351344
cell_01017,9.937726,-1.7472026
cell_01018,-6.5984883,1.9442817
cell_01019,2.9701426,4.848836
cell_01020,9.318408,-4.5126677
cell_01021,7.7061357,-4.5091105
cell_01022,8.105862,-4.327065
cell_01023,3.831764,1.419943
cell_01024,8.368347,-1.3830894
cell_01025,-2.581016,5.7148833
cell_01026,9.13256,-3.0722275
cell_01027,-1.0314621,7.3670325
cell_01028,9.970402,-2.5120842
cell_01029,1.5288897,6.557128
cell_01030,5.2850704,0.1317106
cell_01031,7.293113,-3.4155788
cell_01032,4.733275,1.3685251
cell_01033,7.967684,-4.402879
cell_01034,1.6169277,6.313488
cell_01035,6.2390075,-2.2237537
cell_01036,-2.4668,7.542194
cell_01037,1.910726,6.189205
cell_01038,1.7463235,5.8509955
cell_01039,-4.964441,4.2067657
cell_01040,-5.9883957,4.0084095
cell_01041,6.4512467,-2.538331
cell_01042,9.230374,-1.2708337
cell_01043,7.58609,-1.6430042
cell_01044,-6.4965215,1.5773631
cell_01045,-2.499867,7.272148
cell_01046,-4.18401,5.295496
cell_01047,9.245501,-5.3957906
cell_01048,8.407453,-2.9112573
cell_01049,-4.815555,5.5301833
cell_01050,8.130406,-3.1311028
cell_01051,-5.3288484,3.5168946
cell_01052,-3.989018,6.984911
cell_01053,-5.262332,3.7231276
cell_01054,-3.6936107,6.443835
cell_01055,8.452873,-1.6867441
cell_01056,7.3641644,-5.2773933
cell_01057,-5.286709,5.288022
cell_01058,5.8281217,0.6745752
cell_01059,9.475941,-0.984625
cell_01060,7.5860305,-4.837074
cell_01061,6.475115,-1.3105683
cell_01062,-3.4184308,5.3985896
cell_01063,7.1429534,-3.4360225
cell_01064,-2.655733,6.2746463
cell_01065,8.513909,-6.1202755
cell_01066,0.32946846,6.5770564
cell_01067,7.5596495,-3.0737998
cell_01068,-6.3967466,1.795639
cell_01069,0.7563993,6.309843
cell_01070,7.1153483,-4.9953504
cell_01071,5.7706122,-0.9925523
cell_01072,3.291711,5.038874
cell_01073,10.312102,-2.251303
cell_01074,8.185332,-2.9405346
cell_01075,-2.087704,7.290654
cell_01076,4.943438,0.23776236
cell_01077,4.538919,2.2512069
cell_01078,6.1993976,-2.731407
cell_01079,-2.1742835,7.015956
cell_01080,-4.2391176,5.9744544
cell_01081,10.747148,-1.759963
cell_01082,8.041443,-5.29113
cell_01083,7.186092,-4.3958726
cell_01084,8.512936,-2.316002
cell_01085,7.283303,-2.5286646
cell_01086,6.9293528,-2.9267206
cell_01087,9.290958,-2.824786
cell_01088,2.787713,3.7260602
cell_01089,3.0417778,4.297249
cell_01090,-4.005714,5.639177
cell_01091,9.735241,-1.2316173
cell_01092,-2.6613677,6.272286
cell_01093,-4.041356,4.951367
cell_01094,7.186007,-1.1404227
cell_01095,1.9035596,6.5085316
cell_01096,-4.7604723,5.51448
cell_01097,10.231275,-1.8775275
cell_01098,8.29556,-2.7540634
cell_01099,-4.2978888,3.7735813
cell_01100,-5.435158,1.2734702
cell_01101,-1.7993895,6.8032656
cell_01102,7.0953174,-4.643325
cell_01103,10.077996,-1.0225289
cell_01104,-3.855014,3.662763
cell_01105,8.200111,-3.3531127
cell_01106,-4.182233,4.21406
cell_01107,0.09757937,6.062929
cell_01108,7.972931,-4.2386236
cell_01109,-3.6368225,4.3360405
cell_01110,-5.5349393,4.556933
cell_01111,2.648492,5.3948503
cell_01112,6.4625278,-2.502274
cell_01113,8.641658,-4.316371
cell_01114,9.296737,-3.4553518
cell_01115,-6.15356,2.6016018
cell_01116,-3.9231927,3.3244734
cell_01117,10.426619,-2.5113614
cell_01118,-2.5430615,5.656458
cell_01119,8.894705,-5.354049
cell_01120,7.800795,-4.0182304
cell_01121,-5.9306865,2.7366304
cell_01122,9.014548,-3.741123
cell_01123,-3.8715894,4.8701057
cell_01124,1.7075322,5.737329
cell_01125,4.594969,-0.03359096
cell_01126,3.4629214,3.0953405
cell_01127,6.892111,-3.2870946
cell_01128,8.232793,-0.5729501
cell_01129,9.48573,-1.9750851
cell_01130,8.868432,-5.5504484
cell_01131,4.010856,2.0297682
cell_01132,-4.918055,3.130977
cell_01133,8.220804,-3.9664505
cell_01134,6.6376686,-4.8594737
cell_01135,-1.9287308,6.428069
cell_01136,2.7308152,4.354019
cell_01137,1.6773502,6.0972633
cell_01138,-6.525737,1.906789
cell_01139,8.447117,-1.3456507
cell_01140,-1.0118268,7.150507
cell_01141,9.377894,-1.5636071
cell_01142,9.444399,-1.6657658
cell_01143,10.191778,-2.0775464
cell_01144,2.0996716,6.1085467
cell_01145,-2.819632,7.17486
cell_01146,7.1008906,-4.3877487
cell_01147,8.857923,-2.632287
cell_01148,3.8892136,3.5365994
cell_01149,7.2887926,-4.188136
cell_01150,-4.068358,4.204479
cell_01151,9.388258,-1.6899042
cell_01152,-5.954483,3.3881135
cell_01153,-4.854744,4.828208
cell_01154,5.769552,1.423373
cell_01155,-5.674394,2.18161
cell_01156,-5.7731304,2.5435605
cell_01157,-6.19391,0.6488894
cell_01158,2.0615659,5.308274
cell_01159,7.796264,-2.8321157
cell_01160,-5.066371,1.6361188
cell_01161,7.401812,-0.8655839
cell_01162,9.462272,-2.111677
cell_01163,-4.5649967,5.279593
cell_01164,-5.514989,3.914866
cell_01165,10.668675,-2.0004346
cell_01166,8.772747,-5.627793
cell_01167,5.241463,0.25626114
cell_01168,10.668609,-1.9457242
cell_01169,-5.78961,3.3225834
cell_01170,0.9919782,6.74428
cell_01171,7.365633,-4.8428016
cell_01172,-3.305437,5.377791
cell_01173,9.623311,-1.0288587
cell_01174,4.164196,2.12398
cell_01175,8.736725,-3.1302142
cell_01176,3.955384,4.1219177
cell_01177,0.056601,6.925366
cell_01178,-3.993596,5.06227
cell_01179,-5.1327887,5.3953533
cell_01180,6.68768,-4.379741
cell_01181,-4.314507,3.4272902
cell_01182,-5.0981617,2.3827038
cell_01183,-3.6135669,4.7198305
cell_01184,-5.18095,4.8358045
cell_01185,10.16712,-2.0874286
cell_01186,-0.03134381,6.2462034
cell_01187,9.431109,-1.4062692
cell_01188,-4.2256036,3.2529707
cell_01189,8.111185,-1.9261754
cell_01190,2.7213848,5.1774054
cell_01191,0.86052155,6.5321007
cell_01192,10.216025,-2.6690996
cell_01193,8.204552,-6.0691595
cell_01194,11.098566,-1.7058053
cell_01195,-4.033056,5.5923295
cell_01196,-3.798059,4.6977215
cell_01197,7.298949,-2.2263217
cell_01198,-2.7194004,6.8318524
cell_01199,8.319101,-2.4569046
cell_01200,6.409535,-1.3832474
cell_01201,6.4806066,0.01964292
cell_01202,7.4320507,-5.817625
cell_01203,7.122007,-3.4793162
cell_01204,-6.521776,1.6994932
cell_01205,-5.9123015,1.6336825
cell_01206,6.1703,-0.9404731
cell_01207,3.6917775,2.7092335
cell_01208,-4.0423527,6.6455445
cell_01209,0.74032366,5.484301
cell_01210,7.740322,-5.6956663
cell_01211,9.883974,-1.3885574
cell_01212,7.0320306,-0.11361285
cell_01213,-0.6234552,6.7269273
cell_01214,-3.022667,6.233728
cell_01215,4.2398753,1.2801085
cell_01216,-2.1600208,6.7850103
cell_01217,5.013914,-0.7826132
cell_01218,8.148054,-0.49446714
cell_01219,-5.7057366,2.6081522
cell_01220,-6.043881,0.76883066
cell_01221,-4.499038,6.6707864
cell_01222,8.915958,-3.078508
cell_01223,6.5256863,-1.4503212
cell_01224,-4.7670717,4.0337214
cell_01225,8.315282,-2.8443422
cell_01226,2.9954495,3.5279572
cell_01227,2.6544313,3.3446648
cell_01228,10.955678,-1.9874156
cell_01229,-4.847489,2.7921894
cell_01230,-3.3587542,5.091815
cell_01231,5.6678233,-1.374135
cell_01232,-3.7395282,5.3613806
cell_01233,7.220914,-3.0581455
cell_01234,-3.719663,4.999702
cell_01235,-6.0097523,4.0318446
cell_01236,-4.47137,5.6354547
cell_01237,1.6446095,5.269349
cell_01238,-4.3691072,4.621753
cell_01239,-5.1401095,4.06826
cell_01240,9.90923,-1.0235593
cell_01241,-2.1378686,6.8179436
cell_01242,-1.0071404,7.6022315
cell_01243,-5.35753,2.4205136
cell_01244,-0.38296366,6.9224358
cell_01245,-3.8962197,5.676869
cell_01246,7.717243,-0.33792454
cell_01247,-3.823549,4.8714247
cell_01248,8.174421,-5.580418
cell_01249,8.519525,-4.558966
cell_01250,-4.908091,2.4526815
cell_01251,-5.8584867,3.001148
cell_01252,-5.151599,3.6001675
cell_01253,7.55761,-0.8256502
cell_01254,-5.264871,3.439519
cell_01255,8.436522,-3.0868313
cell_01256,9.625858,-3.1738899
cell_01257,8.238821,-3.0255215
cell_01258,6.000638,0.72219944
cell_01259,9.802549,-0.8256776
cell_01260,-6.3220196,2.4951997
cell_01261,0.8344337,6.976352
cell_01262,-2.9233112,7.435616
cell_01263,7.0665545,-5.583776
cell_01264,5.5355344,0.39396018
cell_01265,9.588927,-3.7499611
cell_01266,-4.8083196,3.9254332
cell_01267,7.112439,-4.6460643
cell_01268,4.047905,2.107945
cell_01269,3.2820058,2.749994
cell_01270,8.170426,-3.900921
cell_01271,0.13980451,7.1220517
cell_01272,0.49564305,6.7349997
cell_01273,5.112081,-0.8346224
cell_01274,-4.7609305,3.316664
cell_01275,-2.0867908,6.591452
cell_01276,-3.8634377,6.1538787
cell_01277,-5.350841,3.5000718
cell_01278,6.8462963,-4.6778874
cell_01279,5.851298,-1.0094874
cell_01280,-1.3916266,7.355888
cell_01281,1.253569,6.7317634
cell_01282,1.6542363,5.084675
cell_01283,7.0501823,-3.51086
cell_01284,8.779208,-4.5201097
cell_01285,8.199591,-5.2978983
cell_01286,1.1575438,6.6739793
cell_01287,-2.3920972,7.4587264
cell_01288,3.4246404,4.630198
cell_01289,5.3368907,0.05915168
cell_01290,3.32064,3.7776306
cell_01291,8.337253,-0.34122726
cell_01292,4.960027,-0.13068815
cell_01293,-2.747739,6.869424
cell_01294,-1.4982368,6.644439
cell_01295,1.0748019,6.8174305
cell_01296,-5.8480177,3.260379
cell_01297,-4.565182,5.235387
cell_01298,9.588908,-2.3759987
cell_01299,0.36451182,6.817408
cell_01300,-4.1612406,4.4825196
cell_01301,4.5657344,0.27327192
cell_01302,8.47208,-2.3050513
cell_01303,-3.2127533,5.330095
cell_01304,9.052514,-4.31187
cell_01305,9.991022,-3.496578
cell_01306,7.2866273,-1.6059024
cell_01307,6.397848,-3.848633
cell_01308,-6.077636,1.9245182
cell_01309,7.686488,-4.3707542
cell_01310,0.7611382,6.6547413
cell_01311,9.821477,-3.5669746
cell_01312,6.5989957,-0.5454167
cell_01313,-6.0309496,0.677934
cell_01314,-6.713176,1.3338133
cell_01315,7.417599,-3.3035986
cell_01316,6.270683,0.34885785
cell_01317,-6.73447,1.5365876
cell_01318,7.194727,-4.215892
cell_01319,9.117257,-5.319349
cell_01320,4.4820113,2.321268
cell_01321,2.5582545,4.45701
cell_01322,-6.4842534,1.6408901
cell_01323,8.533692,-3.522522
cell_01324,-1.3834298,7.0720806
cell_01325,7.906357,-5.0193343
cell_01326,-0.024067732,7.2008853
cell_01327,5.4641366,-0.5506336
cell_01328,-3.4304588,6.3583508
cell_01329,-5.605081,4.9916286
cell_01330,8.047225,-3.0061853
cell_01331,3.5855203,2.2744434
cell_01332,5.0683866,0.190868
cell_01333,8.899825,-3.248118
cell_01334,6.9772625,-4.563411
cell_01335,10.492026,-1.8217651
cell_01336,-4.26937,6.087229
cell_01337,5.74831,-1.7256124
cell_01338,8.915647,-5.2062907
cell_01339,-0.3077379,6.3141923
cell_01340,-5.0119357,3.129695
cell_01341,9.282961,-0.9913823
cell_01342,4.5155935,2.9229248
cell_01343,4.9015145,0.070459
cell_01344,10.348411,-1.060193
cell_01345,5.542715,-1.7381343
cell_01346,0.880212,5.7839885
cell_01347,-0.8476219,7.1971774
cell_01348,1.3286867,5.887519
cell_01349,-4.5171,3.6156185
cell_01350,7.862211,-5.8780193
cell_01351,7.9022818,-4.6158857
cell_01352,-3.0823605,6.2250395
cell_01353,-2.162545,6.174291
cell_01354,6.583994,-5.0628448
cell_01355,-5.7967772,0.7964271
cell_01356,5.083247,1.114441
cell_01357,2.7405076,4.1514745
cell_01358,6.209305,-3.8805037
cell_01359,-4.648286,4.2198877
cell_01360,9.070876,-1.683086
cell_01361,-0.37592882,6.428651
cell_01362,7.318001,-2.8303502
cell_01363,-5.862893,1.5034262
cell_01364,3.4204254,4.314648
cell_01365,4.1406245,1.43146
cell_01366,-4.8316927,4.83393
cell_01367,-4.726268,4.0110254
cell_01368,-3.9359448,4.5809484
cell_01369,-0.08735054,7.320648
cell_01370,-6.2026954,3.020713
cell_01371,10.665621,-1.7150688
cell_01372,1.4939731,6.2560716
cell_01373,8.156071,-4.5116324
cell_01374,8.44171,-4.825982
cell_01375,-6.1106734,2.7133834
cell_01376,7.652833,-5.0568256
cell_01377,8.239457,-2.4422748
cell_01378,6.1243553,-1.3102416
cell_01379,1.5352736,5.202622
cell_01380,2.2611163,4.5841603
cell_01381,-6.320914,1.2793845
cell_01382,4.2469683,1.2003117
cell_01383,10.0998335,-3.6792243
cell_01384,8.219794,-6.1520514
cell_01385,-5.9011602,1.9244881
cell_01386,7.414106,-2.0463085
cell_01387,-3.2021344,6.930685
cell_01388,8.53343,-6.199504
cell_01389,-6.389602,2.0999846
cell_01390,8.565806,-3.9281504
cell_01391,9.118769,-2.7899683
cell_01392,-4.5153413,3.6246493
cell_01393,-5.396188,1.8655428
cell_01394,8.044194,-6.0571065
cell_01395,-4.1614747,4.113607
cell_01396,4.7046204,0.69288373
cell_01397,8.8164015,-5.7342224
cell_01398,5.388159,-0.34427872
cell_01399,0.12104186,5.830791
cell_01400,2.3809712,4.9298368
cell_01401,-6.4768524,2.4092603
cell_01402,10.236335,-2.8003635
cell_01403,-2.6963809,6.5800867
cell_01404,-3.717103,4.254652
cell_01405,-2.642035,6.119161
cell_01406,10.389427,-1.2854451
cell_01407,-5.1472044,2.1195292
cell_01408,10.236904,-2.563731
cell_01409,7.794586,-2.8673012
cell_01410,7.6472526,-5.7161283
cell_01411,9.730442,-1.4763234
cell_01412,8.651854,-4.7352157
cell_01413,8.296916,-2.971228
cell_01414,-4.4271507,4.285597
cell_01415,9.796376,-4.4859376
cell_01416,5.993111,-0.10940138
cell_01417,6.067523,0.15169634
cell_01418,9.784422,-3.0549912
cell_01419,9.50786,-4.0773735
cell_01420,7.237019,-2.000776
cell_01421,3.4962323,2.7889347
cell_01422,2.6446729,4.3173437
cell_01423,0.39122388,7.2387576
cell_01424,-0.083127625,7.0581684
cell_01425,0.5093966,6.6882787
cell_01426,-6.438894,2.6656132
cell_01427,-5.8595505,3.449241
cell_01428,9.713144,-2.8428462
cell_01429,2.8743472,4.6692786
cell_01430,9.2402315,-5.2944493
cell_01431,6.6803303,-2.4278574
cell_01432,-5.7286825,1.2757145
cell_01433,-4.8248377,4.392128
cell_01434,-4.4922676,6.136028
cell_01435,8.974532,-2.8649287
cell_01436,-5.0843773,4.996408
cell_01437,3.955655,1.5135313
cell_01438,9.901075,-1.4214394
cell_01439,7.4482923,-5.6092796
cell_01440,-4.1750054,5.7779903
cell_01441,-5.3707533,2.087624
cell_01442,-5.6159477,4.504678
cell_01443,-6.141967,3.6843603
cell_01444,-4.1229234,4.3640447
cell_01445,5.2092,-0.15638097
cell_01446,7.1545305,-4.640022
cell_01447,4.173221,0.59076685
cell_01448,6.9480205,-1.2173867
cell_01449,-5.023083,4.935054
cell_01450,7.083544,-4.801483
cell_01451,6.6010947,-2.1378083
cell_01452,10.770889,-2.1902878
cell_01453,10.015357,-3.5970845
cell_01454,-1.4748162,6.8754897
cell_01455,-4.8338723,3.301495
cell_01456,-3.781797,5.655778
cell_01457,2.8608751,5.313514
cell_01458,10.100233,-3.8113816
cell_01459,0.071793355,6.74369
cell_01460,9.556276,-3.4746196
cell_01461,4.2417145,0.7260118
cell_01462,-4.461911,4.164537
cell_01463,-2.419515,6.836839
cell_01464,6.498303,-2.7061546
cell_01465,7.0844703,-3.5914247
cell_01466,1.7329549,5.579028
cell_01467,-4.952919,5.907861
cell_01468,7.145706,-3.7735863
cell_01469,-5.540849,4.1556225
cell_01470,9.362536,-2.151027
cell_01471,-4.4987655,6.1533327
cell_01472,-5.4265323,3.7005808
cell_01473,4.4718194,1.4624033
cell_01474,4.435631,1.447266
cell_01475,4.3510675,2.5342863
cell_01476,2.8432744,5.2720404
cell_01477,8.289319,-4.5184083
cell_01478,3.6456094,2.52043
cell_01479,3.4300098,3.383537
cell_01480,1.4257809,5.7043304
cell_01481,-6.22292,3.0131128
cell_01482,7.92708,-0.49766582
cell_01483,-4.698907,4.940631
cell_01484,6.55817,-2.3215752
cell_01485,-5.3768744,1.6872656
cell_01486,8.778588,-4.999087
cell_01487,2.4593844,3.7977185
cell_01488,8.142494,-3.4428039
cell_01489,3.5857685,3.8686774
cell_01490,-6.5617027,2.0144162
cell_01491,10.494667,-2.1933384
cell_01492,6.497943,-2.6746879
cell_01493,7.6836042,-2.8816574
cell_01494,1.3650353,5.375447
cell_01495,7.5524936,-0.8738918
cell_01496,9.821374,-4.0141683
cell_01497,5.712218,-1.3005437
cell_01498,-0.9857924,7.1609225
cell_01499,7.0437684,-2.90043
cell_01500,7.435368,-3.460252
cell_01501,10.799147,-2.0865057
cell_01502,-0.18725991,7.182932
cell_01503,1.6926787,5.3029246
cell_01504,10.808566,-1.6588503
cell_01505,3.3900201,2.729669
cell_01506,6.706921,-4.3370323
cell_01507,2.4939218,3.8711526
cell_01508,-4.7512865,5.9661684
cell_01509,8.309794,-3.1942163
cell_01510,-4.9694233,3.845818
cell_01511,-4.6449385,6.3652616
cell_01512,5.6745133,-2.4634767
cell_01513,7.9429736,-3.3904896
cell_01514,8.764104,-4.784888
cell_01515,-3.8547971,6.519486
cell_01516,-4.893993,4.3051724
cell_01517,8.627254,-2.3337626
cell_01518,-4.878348,5.469184
cell_01519,-5.085681,4.5599756
cell_01520,-3.4332423,6.3510613
cell_01521,3.992954,1.3248862
cell_01522,7.922785,-4.6424065
cell_01523,7.614351,-4.8048944
cell_01524,8.960016,-1.2934417
cell_01525,-3.9426935,4.9733667
cell_01526,-1.0885224,6.900555
cell_01527,3.0670457,3.4400342
cell_01528,-3.6520267,4.081171
cell_01529,-5.005907,6.0488887
cell_01530,-2.26752,6.086308
cell_01531,-4.4512706,3.2338786
cell_01532,6.2022624,0.6604154
cell_01533,8.658191,-1.2454256
cell_01534,-5.676518,2.0778444
cell_01535,2.956053,3.1696098
cell_01536,8.254302,-3.1553104
cell_01537,7.5540066,-5.0404825
cell_01538,8.14833,-2.039873
cell_01539,2.3037093,4.9433994
cell_01540,9.247229,-3.7609825
cell_01541,-4.9224744,5.2489867
cell_01542,-0.59584635,6.634879
cell_01543,-4.6506066,4.090694
cell_01544,3.1941924,3.8651755
cell_01545,0.20768428,6.676721
cell_01546,-4.647408,5.39727
cell_01547,8.653469,-2.3280835
cell_01548,-2.699931,6.4328246
cell_01549,-4.509098,5.626518
cell_01550,-6.012763,3.064201
cell_01551,2.9492593,5.4874916
