,UMAP_1,UMAP_2
cell_00154,-4.8274827,3.5037096
cell_00155,6.1899233,-2.9890785
cell_00156,-3.0068963,7.370666
cell_00157,8.584878,-0.38191268
cell_00158,7.8012457,-2.3612494
cell_00159,9.898864,-2.5483708
cell_00160,-4.7422194,4.012387
cell_00161,9.429677,-4.82296
cell_00162,-4.4218383,5.1839175
cell_00163,-5.865,1.4658914
cell_00164,4.5696154,0.32906714
cell_00165,-0.32276866,7.116437
cell_00166,7.761602,-3.346699
cell_00167,7.434625,-4.668017
cell_00168,-2.965206,6.8984346
cell_00169,10.944212,-2.1649466
cell_00170,-3.1387942,6.1784253
cell_00171,5.762649,1.478031
cell_00172,-3.972941,5.365433
cell_00173,9.926255,-1.7937881
cell_00174,-3.4175806,5.210456
cell_00175,-6.4216914,2.0516093
cell_00176,1.6391231,5.190109
cell_00177,9.628808,-1.9745626
cell_00178,10.418367,-2.1014733
cell_00179,7.315868,-2.7485247
cell_00180,7.513479,-4.5359163
cell_00181,9.855105,-3.67022
cell_00182,4.642624,1.984763
cell_00183,-2.79144,7.1317825
cell_00184,8.683388,-5.031192
cell_00185,6.190547,-3.7795424
cell_00186,1.0619183,6.616115
cell_00187,-5.552171,4.065074
cell_00188,7.838094,-3.0156298
cell_00189,-3.9233613,5.9079
cell_00190,8.008549,-6.1384554
cell_00191,-4.839072,6.1378126
cell_00192,-4.4639564,3.1939914
cell_00193,8.1195965,-5.8743315
cell_00194,-4.9585176,4.8296933
cell_00195,-4.2247033,4.0505815
cell_00196,6.074489,-1.8662374
cell_00197,10.0176,-1.1327021
cell_00198,-4.2072167,5.045593
cell_00199,-2.8296192,7.1832623
cell_00200,9.647841,-1.6806529
cell_00201,7.5481567,-4.392878
cell_00202,3.938774,1.6465421
cell_00203,-4.769404,3.950516
cell_00204,-6.2427096,1.1393753
cell_00205,-4.1821685,5.1215277
cell_00206,-4.4227076,3.9171646
cell_00207,6.1516395,-1.7553519
cell_00208,-5.0066557,3.2689748
cell_00209,4.3121753,1.5058908
cell_00210,8.427324,-2.3301785
cell_00211,6.629343,-0.92968607
cell_00212,-3.9469619,5.0575824
cell_00213,7.624549,-5.3849754
cell_00214,6.8979,-2.802599
cell_00215,6.8315096,-4.010231
cell_00216,-5.278974,3.398544
cell_00217,-5.2040477,3.9410608
cell_00218,8.617948,-3.6283374
cell_00219,1.3618785,6.245033
cell_00220,-2.6998823,5.838406
cell_00221,4.1689367,2.3721826
cell_00222,7.122116,-4.039993
cell_00223,10.512486,-2.4375634
cell_00224,-2.7443457,5.9136486
cell_00225,6.96858,-5.0276375
cell_00226,-6.681208,1.1772499
cell_00227,5.1069,0.2754308
cell_00228,9.359597,-1.2774895
cell_00229,-6.1941533,2.4363413
cell_00230,-5.4281626,4.2500596
cell_00231,1.3029486,5.8325443
cell_00232,9.641912,-1.7401706
cell_00233,6.0735,-2.5527332
cell_00234,9.76837,-1.4829309
cell_00235,6.3703976,-4.1243834
cell_00236,4.4305134,3.0892932
cell_00237,6.278926,-5.0604196
cell_00238,-6.653082,1.1942607
cell_00239,-4.7024813,3.0701978
cell_00240,7.4873896,-5.07445
cell_00241,7.9379997,-4.7716312
cell_00242,-4.295127,6.023909
cell_00243,3.938572,1.297064
cell_00244,6.438625,-0.41834638
cell_00245,9.87344,-3.7591355
cell_00246,5.496993,-1.6841925
cell_00247,0.69310594,5.828785
cell_00248,0.235972,6.8520813
cell_00249,2.1546667,5.6961393
cell_00250,6.765167,-3.8559663
cell_00251,9.964057,-1.19294
cell_00252,2.8934205,4.126637
cell_00253,-3.2153354,5.0504627
cell_00254,-3.9310737,5.7297325
cell_00255,7.0826826,-5.032607
cell_00256,10.300285,-1.8140597
cell_00257,-4.9767275,3.9914188
cell_00258,-5.3580904,2.161248
cell_00259,5.2480364,-1.2259055
cell_00260,-5.0670867,5.394196
cell_00261,7.3253903,-5.6499906
cell_00262,-2.9203417,7.146731
cell_00263,-4.525188,3.4056432
cell_00264,10.046402,-1.6055545
cell_00265,-4.8329253,5.0021424
cell_00266,-3.923603,6.3178105
cell_00267,-4.6871934,6.4154167
cell_00268,-5.175881,3.6623485
cell_00269,-5.9905887,0.9205362
cell_00270,-4.981284,2.7430043
cell_00271,-3.5616245,4.5001326
cell_00272,-5.9120035,2.275562
cell_00273,7.187206,-0.40854225
cell_00274,7.44658,-3.7607505
cell_00275,1.0965102,6.672079
cell_00276,-2.6099632,6.5289407
cell_00277,3.8589008,2.3630836
cell_00278,7.88657,-4.2238617
cell_00279,7.453394,-3.8361726
cell_00280,-6.47989,1.2051644
cell_00281,-3.9251952,4.6203265
cell_00282,-4.4589043,5.7066193
cell_00283,-2.5065584,6.373214
cell_00284,5.04634,-0.48390475
cell_00285,1.6292213,5.8410006
cell_00286,-6.1407404,2.0780544
cell_00287,-0.17492855,6.3213854
cell_00288,5.367382,1.4206426
cell_00289,-6.1717396,3.950848
cell_00290,8.256798,-5.627394
cell_00291,-5.6632867,2.5327296
cell_00292,8.25748,-5.1150556
cell_00293,-4.396766,3.040992
cell_00294,10.660184,-1.4750806
cell_00295,8.05281,-5.708174
cell_00296,9.305738,-3.5198326
cell_00297,7.4973025,-5.027177
