,UMAP_1,UMAP_2,UMAP_3
cell_00116,11.46673,-2.7258782,-1.5373174
cell_00117,10.152388,-2.8894598,-0.7828042
cell_00118,5.310836,5.8947935,1.0339004
cell_00119,10.470344,-0.22370474,-1.3461097
cell_00120,9.312376,0.929143,-0.6674003
cell_00121,10.711524,-0.92647433,-1.1809497
cell_00122,-2.482147,5.2662096,3.5586174
cell_00123,4.2407103,6.6700344,1.3006918
cell_00124,-3.803223,4.071325,4.38491
cell_00125,7.550357,4.315897,0.26653087
cell_00126,1.38991,6.7868805,2.5212152
cell_00127,-2.3862603,5.016848,3.4403877
cell_00128,-1.6561741,4.9755106,3.7279246
cell_00129,9.302242,0.0293754,-0.7661566
cell_00130,-1.5584002,5.195367,3.5711737
cell_00131,11.382749,-2.2181847,0.5157961
cell_00132,9.170599,0.3792336,-1.151896
cell_00133,1.2607856,6.6545124,2.0966012
cell_00134,9.20774,1.0514488,0.30107424
cell_00135,-3.9406397,3.3854775,4.199165
cell_00136,10.899442,-3.1684804,-1.0753655
cell_00137,7.166768,4.578155,0.4291967
cell_00138,11.229914,-1.51715,2.7063823
cell_00139,-3.3637726,4.154007,4.5377326
cell_00140,8.660021,3.2597747,0.27844408
cell_00141,7.1443324,4.413544,-0.008289425
cell_00142,11.148785,-2.1511288,1.9548631
cell_00143,10.032179,1.0617292,-0.3204114
cell_00144,6.4304113,5.2600274,0.07651903
cell_00145,-0.064981036,6.2101374,3.378395
cell_00146,0.8644732,6.8166738,2.5263324
cell_00147,8.019252,3.4901977,0.2596526
cell_00148,6.335432,5.767424,1.2069701
cell_00149,-4.3331156,3.4293067,4.6224613
cell_00150,10.931197,-2.1590562,-0.49373725
cell_00151,11.781828,-1.9252913,0.5387063
cell_00152,-1.2259352,5.3621492,3.9912004
cell_00153,8.365801,2.0070543,-0.77250963
cell_00154,-2.1030812,4.6247306,4.0245795
cell_00155,10.431498,-1.0724336,-1.6395789
cell_00156,0.239967,7.002575,2.3642812
cell_00157,11.042804,0.09375466,1.5456896
cell_00158,10.899503,-1.0344379,0.107423134
cell_00159,10.996091,-2.0175226,1.6446579
cell_00160,-1.8095803,4.567104,3.2775073
cell_00161,11.047079,-3.464914,0.25445408
cell_00162,-1.2946852,5.9133816,3.84134
cell_00163,-3.7564814,3.3331676,4.694496
cell_00164,8.382255,1.9532737,-0.77518475
cell_00165,2.6778371,6.527837,2.0642445
cell_00166,10.778344,-1.7960116,-0.508967
cell_00167,9.769977,-2.7853963,-1.3273906
cell_00168,0.51218927,6.77812,2.616426
cell_00169,10.738129,-2.0374157,2.74355
cell_00170,0.0823566,6.7843966,3.18297
cell_00171,9.139602,2.56352,0.44067
cell_00172,-1.0219638,5.1674447,2.921963
cell_00173,11.572495,-1.4318781,1.8195405
cell_00174,-0.38961273,5.1879478,3.4126124
cell_00175,-3.8766067,4.1554976,5.0472913
cell_00176,5.0421543,5.68937,0.8756543
cell_00177,11.404391,-1.5340132,1.7829803
cell_00178,10.805771,-1.7262096,2.163016
cell_00179,11.137438,-1.087016,-0.4789517
cell_00180,10.855829,-2.7313411,-1.2338943
cell_00181,11.316901,-2.8697538,1.1235056
cell_00182,7.951172,3.146747,0.053238034
cell_00183,0.52558744,6.2753973,1.7945938
cell_00184,10.998379,-3.7892458,-0.18649402
cell_00185,9.865879,-1.9878888,-1.4498819
cell_00186,4.0773573,6.618064,2.0857058
cell_00187,-2.2095668,4.516354,3.4212093
cell_00188,11.2325535,-1.8367538,-0.24005884
cell_00189,-1.0300703,6.2277293,2.7090518
cell_00190,10.599201,-4.289782,-1.4014554
cell_00191,-1.147113,6.539276,2.9601429
cell_00192,-2.244717,4.37881,3.769165
cell_00193,10.583066,-4.0815883,-1.2813805
cell_00194,-1.8276017,5.3475566,3.4290562
cell_00195,-1.7988266,5.2039833,3.402556
cell_00196,9.355967,-0.585797,-0.810821
cell_00197,11.448018,-1.0732795,2.346396
cell_00198,-0.9054584,5.599667,4.109818
cell_00199,0.3675598,6.5635123,2.0870056
cell_00200,10.941483,-1.1212009,1.8688765
cell_00201,11.499244,-2.8836236,-1.1034254
cell_00202,8.237554,3.669477,-0.66424835
cell_00203,-1.8214298,5.7189,4.5861354
cell_00204,-4.509703,3.5438204,4.735744
cell_00205,-0.79258674,5.522233,3.9564266
cell_00206,-1.7506392,5.3523774,4.500936
cell_00207,10.085011,-0.00663539,-1.0805467
cell_00208,-2.5597486,5.301801,4.218324
cell_00209,8.599657,3.4415047,-0.6001298
cell_00210,11.400034,-1.1536543,0.3784852
cell_00211,10.193203,0.6067447,-0.17815499
cell_00212,-1.3468946,5.690276,2.6148071
cell_00213,11.135631,-3.5531893,-1.2334925
cell_00214,10.599108,-1.2289261,-0.7823877
cell_00215,9.761773,-2.3614795,-1.4618138
cell_00216,-2.7016728,5.2049966,4.1704893
cell_00217,-2.3013475,5.2158704,4.412082
cell_00218,10.944623,-2.4367628,-0.0405265
cell_00219,4.741788,6.327117,1.9614747
cell_00220,0.392188,6.398606,3.6263134
cell_00221,7.739506,3.3037422,0.14169763
cell_00222,9.638296,-2.516013,-1.2349194
cell_00223,11.0996065,-2.3568275,2.1170542
cell_00224,0.5081301,5.8769927,3.2212758
cell_00225,11.132692,-3.1208985,-1.5973303
cell_00226,-4.2450223,3.7864313,5.2952714
cell_00227,8.559042,1.6456311,-0.44798532
cell_00228,10.557899,-0.8398466,1.9929566
cell_00229,-3.6546717,4.5177684,4.4427323
cell_00230,-2.1118722,5.1118984,4.1390457
cell_00231,4.5540543,6.1668644,1.4594371
cell_00232,11.698062,-1.2727412,1.7433866
cell_00233,9.8233385,-0.729613,-1.1337765
cell_00234,11.848589,-1.3180693,1.8469849
cell_00235,10.30706,-2.0063355,-1.8316022
cell_00236,7.6217594,3.9999619,0.47809333
cell_00237,11.001863,-2.6896489,-2.0416467
cell_00238,-4.7182407,3.757583,4.438302
cell_00239,-2.1068993,4.2601924,4.4729037
cell_00240,10.488218,-3.2653916,-1.108867
cell_00241,9.847422,-3.1292763,-0.99665165
cell_00242,-0.5468204,5.4577394,2.8044603
cell_00243,8.094449,2.7605996,-0.7727519
cell_00244,9.882022,0.83671135,-0.08010722
cell_00245,10.915974,-3.132021,1.1273144
cell_00246,9.605658,0.2966796,-1.3233836
cell_00247,3.8662739,6.4229865,1.3112917
cell_00248,3.2751708,6.445081,2.1157677
cell_00249,5.3487864,5.9943833,1.4636104
cell_00250,10.144502,-2.0922525,-1.3875946
cell_00251,11.025364,-0.9988075,2.1065814
cell_00252,6.440848,5.376565,0.45513892
cell_00253,-0.22062457,5.127134,3.6703932
cell_00254,-0.7313133,6.3603096,3.3035047
cell_00255,10.7300005,-2.8297403,-1.4759924
cell_00256,11.2639065,-1.8275874,2.231619
cell_00257,-2.460345,5.269403,3.6035254
cell_00258,-3.3296096,4.178149,4.2146616
cell_00259,9.022849,0.54124707,-1.025937
cell_00260,-1.6671633,5.972176,2.9159749
cell_00261,10.795936,-3.630909,-1.641007
cell_00262,0.4843319,6.3465524,2.2495499
cell_00263,-2.1436028,5.1697555,4.157755
cell_00264,10.892249,-1.4403008,2.2075741
cell_00265,-1.5534813,6.4103513,4.126773
cell_00266,-0.7416552,6.5549407,2.8193462
cell_00267,-0.98961127,6.8647285,3.4588804
cell_00268,-2.7894626,5.11708,3.9176009
cell_00269,-4.1936154,3.2482653,4.762057
cell_00270,-2.644824,4.3077626,4.172243
cell_00271,-0.8474724,5.148912,3.9497478
cell_00272,-3.5445938,3.9624555,4.2040386
cell_00273,10.428986,0.7263137,0.30610025
cell_00274,9.782674,-2.210186,-0.8054925
cell_00275,4.0058093,6.1791215,1.9707469
cell_00276,0.49283874,6.1433682,2.5004797
cell_00277,7.857193,4.1112514,-0.40641972
cell_00278,11.343464,-2.8622265,-0.78349954
cell_00279,11.481963,-2.3216336,-0.9004096
cell_00280,-4.342804,3.4640846,4.7599077
cell_00281,-0.86002064,5.4741287,4.110321
cell_00282,-1.0416492,5.426291,2.3277154
cell_00283,0.4776293,6.417445,3.5247436
cell_00284,9.008746,1.3783982,-1.1069058
cell_00285,4.984929,6.3416724,1.3176663
cell_00286,-3.7786176,4.0902143,4.0875196
cell_00287,3.0289886,6.9743204,1.5902656
cell_00288,9.076237,2.7550066,0.011333698
cell_00289,-2.9744232,5.449822,3.553742
cell_00290,10.386481,-3.993821,-0.874762
cell_00291,-3.3761227,3.9874017,4.1173506
cell_00292,11.218756,-3.4358857,-0.5574367
cell_00293,-2.4541433,4.74347,4.04764
cell_00294,11.436357,-1.7527555,2.649555
cell_00295,10.048853,-3.8380914,-1.249034
cell_00296,11.839232,-2.7977667,0.7524645
cell_00297,10.561322,-2.9510674,-1.508908
cell_00298,10.070384,-1.5983131,-0.282985
cell_00299,10.820604,-0.5855768,1.3211148
cell_00300,11.513156,-2.1126878,0.8827859
cell_00301,-2.1936336,5.1726737,4.153376
cell_00302,9.587021,2.0265322,0.22642924
cell_00303,7.89776,3.3917263,0.33043894
cell_00304,10.330515,-4.007298,-0.9517908
cell_00305,7.1617565,4.7040133,0.8699312
cell_00306,3.6458342,6.460609,2.3319554
cell_00307,10.74971,0.025939066,0.31597894
cell_00308,-0.47873333,6.8026114,2.9673123
cell_00309,-1.4790828,5.214233,2.9441166
cell_00310,7.191914,4.324753,0.43162403
cell_00311,5.327359,5.5399575,0.8305931
cell_00312,-0.35288122,5.886479,2.1788332
cell_00313,2.5728111,6.546114,2.3766
cell_00314,2.4153457,6.8730707,1.6400373
cell_00315,1.4802581,6.62979,2.1547232
cell_00316,3.1830792,6.588112,1.9606453
cell_00317,10.866391,-3.3188066,-0.84613144
cell_00318,-0.17920293,6.3928967,2.9526684
cell_00319,10.938821,-3.8590932,0.31144506
cell_00320,11.712107,-2.4701362,0.68975055
cell_00321,6.6962013,4.721097,-0.19371533
cell_00322,1.0801017,6.8669295,1.8172953
cell_00323,8.367592,3.1514933,-0.79680246
cell_00324,11.624171,-2.882751,-1.3524723
cell_00325,11.176415,-0.33002487,1.4327023
cell_00326,11.308215,-2.0793495,-0.94286025
cell_00327,8.703735,2.0593314,-0.42070624
cell_00328,9.608154,0.086436614,-0.027770706
cell_00329,-0.4647436,6.537594,2.5071394
cell_00330,10.580466,-2.5477648,-0.12837258
cell_00331,-0.21673656,5.5771933,2.1978512
cell_00332,11.363086,-0.8706801,1.0258602
cell_00333,11.067735,-2.074638,1.7017772
cell_00334,-2.061605,5.183324,4.0214067
cell_00335,9.601682,0.004551686,-0.8796722
cell_00336,-1.5629776,5.2629237,4.3702445
cell_00337,11.020446,-1.6184648,1.0140537
cell_00338,-3.446531,4.872609,4.3292704
cell_00339,10.050993,-3.2889652,0.19224419
cell_00340,-2.0807526,5.335874,3.1292446
cell_00341,10.9416065,-4.0739365,-1.210868
cell_00342,10.378705,-3.4912515,-1.4354482
cell_00343,8.993917,0.2117695,-0.87652147
cell_00344,10.348627,-4.307421,-0.93966186
cell_00345,11.312916,-1.9753356,-0.004261875
cell_00346,10.921278,-3.3499124,-1.0003713
cell_00347,-0.89266676,6.18613,2.5411618
cell_00348,9.411593,0.61358726,-1.0885334
cell_00349,-2.3687384,4.624708,4.5519977
cell_00350,10.252212,0.06876114,-0.87322056
cell_00351,-1.6056814,5.9300413,3.0333335
cell_00352,9.544171,0.73870695,-0.09155966
cell_00353,9.380022,-0.05921166,-1.084223
cell_00354,7.3031707,5.028337,0.36468488
cell_00355,9.068946,2.4776795,-0.42070055
cell_00356,9.718655,-3.0816495,-0.7132509
cell_00357,10.863613,-3.1728663,0.45303407
cell_00358,7.926777,4.288153,0.38529488
cell_00359,9.285839,0.55793273,-1.0363336
cell_00360,10.753637,-2.5961106,0.3791245
cell_00361,-2.2877145,4.531106,3.3903298
cell_00362,-1.3568858,5.8613033,3.9652812
cell_00363,-1.9418888,4.487009,3.723441
cell_00364,10.538572,-0.18248054,1.6565235
cell_00365,4.214631,6.2353215,1.6102126
cell_00366,10.017605,-3.1817117,-0.0022258225
cell_00367,9.920003,-1.7479664,-1.4005105
cell_00368,0.941059,6.9871593,2.2570062
cell_00369,10.832171,-3.6817746,-0.76847947
cell_00370,11.404037,-2.0157459,-0.8461668
cell_00371,-0.05892116,6.254142,2.647098
cell_00372,2.0912282,6.6340313,2.8616698
cell_00373,0.75410897,6.518924,1.9664176
cell_00374,-1.2608763,5.603484,2.8730936
cell_00375,-2.0803907,4.980328,3.49696
cell_00376,10.083919,-3.154881,-1.607088
cell_00377,4.991754,5.87326,1.1344717
cell_00378,4.505598,6.498685,2.1038692
cell_00379,10.270468,-2.608962,0.93126595
cell_00380,8.52487,2.1390257,-0.23501743
cell_00381,10.739984,-3.5176847,1.0015018
cell_00382,10.840971,-1.7101947,-1.4814597
cell_00383,6.8641095,4.6216407,-0.34557903
cell_00384,2.6966152,6.824778,2.4798083
cell_00385,11.609209,-2.2292657,1.7551627
cell_00386,10.3361225,-2.644019,-0.9403814
cell_00387,10.60628,-4.311238,-0.16416566
cell_00388,-1.9205147,5.6340365,4.522597
cell_00389,11.2739725,-1.5836616,0.06279486
cell_00390,9.906725,0.42192158,0.7395576
cell_00391,-1.7242259,4.9960847,4.4337316
cell_00392,10.19758,0.94649357,0.08682605
cell_00393,10.51715,-0.5023615,1.3726666
cell_00394,-4.7660766,3.7953339,4.6096754
cell_00395,6.7612457,5.4907084,0.65442365
cell_00396,11.287672,-2.1988947,-0.018707072
cell_00397,0.40235487,5.7210364,2.298505
cell_00398,6.7719135,5.106343,0.44044307
cell_00399,6.4625416,5.3704033,1.4143237
cell_00400,-0.03042633,6.643252,2.8940015
cell_00401,11.582631,-2.389757,1.1065536
cell_00402,10.329617,-3.8716328,0.08445177
cell_00403,-1.9665325,4.75456,4.53773
cell_00404,10.610207,-2.626324,2.0192146
cell_00405,11.36297,-2.7773974,-0.9719256
cell_00406,0.36146054,6.364293,2.80544
cell_00407,11.097061,-2.6310546,-0.7517834
cell_00408,-2.3393078,4.119891,4.2517495
cell_00409,10.411681,-3.6859562,-0.21686745
