,UMAP_1,UMAP_2,UMAP_3
cell_01234,-1.1498418,5.6382737,2.975813
cell_01235,-2.784473,5.513322,4.2402325
cell_01236,-0.96654195,6.5917,3.6673956
cell_01237,4.913864,6.112439,0.9128364
cell_01238,-1.1302248,5.5212507,4.2923822
cell_01239,-1.7119061,4.654957,4.008719
cell_01240,11.670034,-1.1661661,2.0447414
cell_01241,1.0858186,6.2953753,2.4646564
cell_01242,2.1243997,6.8135996,2.3732896
cell_01243,-3.2447534,4.4082456,4.8056073
cell_01244,2.4604437,7.110998,2.182475
cell_01245,-0.5404066,5.917739,3.3570137
cell_01246,10.461333,0.6222202,0.9064142
cell_01247,-0.91732776,5.487808,3.472222
cell_01248,10.387103,-3.956829,-1.066241
cell_01249,10.356941,-3.1164255,-0.35791674
cell_01250,-3.0514786,4.13195,4.4505644
cell_01251,-2.7697186,4.258046,3.8261795
cell_01252,-2.5499258,4.713019,3.2242382
cell_01253,10.642823,0.20903495,0.582507
cell_01254,-2.4262464,4.624661,3.7994306
cell_01255,11.108136,-2.074362,0.12565029
cell_01256,11.175346,-2.4437876,1.0958843
cell_01257,11.595264,-1.8690729,0.07337422
cell_01258,9.558609,2.0678816,0.14025499
cell_01259,11.3097925,-0.6768321,2.055056
cell_01260,-3.644198,4.0844827,4.422552
cell_01261,4.030718,6.4472075,2.3598714
cell_01262,0.40628052,7.046005,2.3280134
cell_01263,11.160881,-3.3072784,-1.6788256
cell_01264,9.471765,2.0638762,-0.48416662
cell_01265,11.266456,-3.0146453,0.83572686
cell_01266,-1.8023375,4.5633025,3.5628934
cell_01267,11.601266,-2.9245558,-1.2255055
cell_01268,8.056372,3.5672848,-0.2085918
cell_01269,6.959848,4.351768,-0.30139652
cell_01270,11.465414,-2.787981,-0.5057413
cell_01271,3.2017224,6.674739,2.3682234
cell_01272,3.5350442,6.5325923,1.9505312
cell_01273,8.950252,0.92495185,-1.0441881
cell_01274,-1.8529906,4.4744163,4.236134
cell_01275,1.338196,6.3508735,3.0467193
cell_01276,-0.5723225,6.5702324,3.208576
cell_01277,-2.885383,5.372094,3.9633942
cell_01278,11.530716,-2.5560963,-1.2685701
cell_01279,9.268748,0.5110467,-0.5795232
cell_01280,1.92271,7.130968,2.3709884
cell_01281,4.379994,6.6408353,2.043632
cell_01282,4.9688954,5.770798,1.0405256
cell_01283,10.339976,-1.63835,-1.1007606
cell_01284,10.892635,-3.261594,-0.12341868
cell_01285,10.394681,-3.8086812,-0.83549976
cell_01286,4.319875,6.31051,2.3221948
cell_01287,0.8485895,6.7391677,1.9752303
cell_01288,6.7059484,5.5097985,0.996781
cell_01289,9.1038475,1.8040131,-0.88385147
cell_01290,6.838879,4.9978786,0.34042725
cell_01291,10.558163,0.30100983,1.1933984
cell_01292,9.151312,1.8406851,-1.1185062
cell_01293,0.4168257,6.7005777,2.6970053
cell_01294,1.5865232,6.94285,2.2483797
cell_01295,4.226161,6.759929,2.1370533
cell_01296,-3.338352,5.042583,3.8769906
cell_01297,-1.5541807,4.9678884,2.6722066
cell_01298,10.783605,-1.8390255,1.2505205
cell_01299,3.4163606,6.4981413,2.1072721
cell_01300,-1.260968,5.09245,3.3439283
cell_01301,8.395003,2.130176,-0.9513873
cell_01302,11.620082,-1.4457742,0.5872354
cell_01303,-0.17442684,5.570463,3.1600473
cell_01304,10.7074795,-3.0605865,0.21739304
cell_01305,11.036524,-2.9729884,1.1838726
cell_01306,10.078154,-0.6015694,0.011999535
cell_01307,10.430682,-1.8976703,-1.3325303
cell_01308,-4.3246536,3.9294786,4.0099287
cell_01309,10.848653,-2.7588844,-0.8745553
cell_01310,3.8894005,6.3393884,1.8530308
cell_01311,11.632556,-2.8861735,1.180116
cell_01312,9.684369,0.6956812,0.08340072
cell_01313,-4.251458,3.3240497,5.0676584
cell_01314,-4.139328,3.652307,4.6071734
cell_01315,11.202321,-1.8692226,-0.500787
cell_01316,9.135052,1.3686452,0.3031991
cell_01317,-4.6161013,4.0851007,4.532102
cell_01318,9.973878,-2.5705655,-1.3205451
cell_01319,10.22011,-3.8915572,-0.028379314
cell_01320,7.966485,3.4949806,0.03584563
cell_01321,6.175068,5.350759,0.6382835
cell_01322,-4.358129,3.796623,4.625231
cell_01323,10.082123,-2.233559,0.28955373
cell_01324,1.5535394,6.487617,2.3607297
cell_01325,10.823544,-3.5213082,-1.070208
cell_01326,3.0390568,6.472688,2.5907433
cell_01327,9.421635,1.3099742,-0.80149966
cell_01328,-0.007288535,6.4043064,3.151422
cell_01329,-2.1915817,5.4924617,3.1273537
cell_01330,11.306503,-1.7600474,-0.20528264
cell_01331,7.501663,4.070175,-0.52967554
cell_01332,9.281043,2.1278784,-0.9100958
cell_01333,11.310123,-2.1929069,0.49095842
cell_01334,10.5796585,-2.6011245,-1.3682766
cell_01335,11.057194,-2.0601366,2.4883976
cell_01336,-0.842654,5.9470925,2.7550814
cell_01337,10.051952,0.34272042,-1.2342567
cell_01338,10.359721,-3.8550825,0.059730798
cell_01339,2.972841,6.893516,1.7080711
cell_01340,-2.7106187,4.686022,3.6418505
cell_01341,11.614774,-0.55647343,1.7749321
cell_01342,7.9649186,4.143075,0.64072216
cell_01343,8.813819,1.8741231,-0.7365765
cell_01344,11.632411,-1.1941816,2.4766726
cell_01345,9.360343,0.20999776,-1.2444304
cell_01346,4.203379,6.4685926,1.1822648
cell_01347,2.3253832,6.7877355,2.06039
cell_01348,4.2583036,5.951649,1.5133867
cell_01349,-1.7488797,4.94528,4.447187
cell_01350,10.2929535,-3.9454808,-1.4645617
cell_01351,10.681842,-3.069529,-0.87361276
cell_01352,0.12211821,6.0392017,2.8239834
cell_01353,0.6860514,6.342906,3.119805
cell_01354,11.113772,-2.6899757,-1.7682046
cell_01355,-3.9284832,3.0109642,4.880851
cell_01356,9.085202,2.7289908,-0.4485058
cell_01357,6.3093886,5.0428457,0.45640987
cell_01358,10.333274,-1.8686894,-1.7917365
cell_01359,-1.7618338,4.787798,3.3349426
cell_01360,11.049302,-1.1440191,1.2773155
cell_01361,2.7487028,6.816884,1.5109308
cell_01362,9.813351,-1.5059574,-0.30467334
cell_01363,-3.6900485,3.756905,5.0624804
cell_01364,6.8236737,5.24129,0.93653655
cell_01365,7.721442,2.8745203,-0.34566426
cell_01366,-1.2265898,5.5988317,4.108175
cell_01367,-2.1242402,4.7408543,3.6707215
cell_01368,-1.0032159,4.6985188,2.9144638
cell_01369,2.7625356,7.0137444,2.0991707
cell_01370,-3.3825872,5.004583,4.20924
cell_01371,10.510808,-1.3303672,2.4271646
cell_01372,4.4128466,6.274123,1.9343053
cell_01373,10.3458395,-2.9074464,-0.65039957
cell_01374,10.176687,-3.3574104,-0.66848075
cell_01375,-3.3669899,4.2275033,3.7674387
cell_01376,9.794516,-3.116283,-1.2976099
cell_01377,11.198223,-1.2530892,0.30445135
cell_01378,9.838898,0.487644,-0.8459396
cell_01379,4.9316983,5.953316,1.0778342
cell_01380,5.7178416,5.740609,0.6279816
cell_01381,-4.2610126,3.5566165,4.1990404
cell_01382,7.9681754,2.6794195,-0.35481822
cell_01383,11.349893,-3.0581505,1.265983
cell_01384,9.869381,-4.0845003,-1.2222065
cell_01385,-3.7624729,3.7566633,4.811802
cell_01386,10.986357,-0.63275534,-0.24194866
cell_01387,0.050347332,6.664563,2.499425
cell_01388,10.556279,-4.319687,-0.9662986
cell_01389,-3.9547858,4.244338,4.9082737
cell_01390,10.405964,-2.530351,0.032193042
cell_01391,11.226371,-2.0413256,0.8459842
cell_01392,-1.765839,4.7086296,4.2264385
cell_01393,-3.3446474,3.7288167,4.5278482
cell_01394,10.104683,-4.1127367,-1.1767045
cell_01395,-1.483175,4.964177,3.7067528
cell_01396,8.643726,2.3734534,-0.57928824
cell_01397,9.87768,-3.8287005,-0.6177377
cell_01398,9.71708,1.5603113,-0.8504367
cell_01399,3.4625306,6.668012,1.0768837
cell_01400,5.695261,5.811965,0.68584824
cell_01401,-3.8739204,4.6668015,4.729256
cell_01402,10.745239,-2.537323,1.9843624
cell_01403,0.5422324,6.0262938,2.6860323
cell_01404,-1.2708203,5.7160234,3.858402
cell_01405,0.50671667,6.333789,3.2470593
cell_01406,11.395835,-1.3200802,2.5161886
cell_01407,-2.8697982,3.53283,4.4846497
cell_01408,10.6275425,-2.3332918,1.8872315
cell_01409,10.27813,-1.7215284,-0.123330645
cell_01410,11.102579,-3.8737133,-1.3205494
cell_01411,11.659642,-1.2222329,1.898916
cell_01412,10.14119,-3.2487197,-0.25239712
cell_01413,11.2199,-1.6966475,0.0900939
cell_01414,-1.2649193,5.2726398,4.2544365
cell_01415,10.6562395,-3.5833046,0.69888955
cell_01416,9.514316,1.6069859,-0.23853436
cell_01417,9.036477,1.5181409,0.21336402
cell_01418,11.373435,-2.4897187,1.2736802
cell_01419,10.18473,-3.154393,0.61246896
cell_01420,10.880567,-0.48624885,-0.42631805
cell_01421,7.2747765,4.2811875,-0.17357175
cell_01422,6.0559106,5.4149394,0.4276262
cell_01423,3.3799262,6.320316,2.2668986
cell_01424,2.788287,6.821946,2.2350876
cell_01425,3.4925466,6.4822636,1.8070282
cell_01426,-3.5662909,4.731101,4.3038044
cell_01427,-2.894456,4.553866,3.564294
cell_01428,11.295357,-2.2969348,1.2147465
cell_01429,6.3165755,5.6359243,0.72416884
cell_01430,10.855515,-3.9342532,0.024531007
cell_01431,10.131393,-0.8319,-0.81134903
cell_01432,-3.7757938,3.194601,4.3072543
cell_01433,-2.2801092,5.444542,3.5719728
cell_01434,-1.0312192,6.3439193,2.7305486
cell_01435,11.085879,-1.9698149,0.5691145
cell_01436,-1.7584356,5.7541733,3.5238981
cell_01437,8.246392,3.275657,-0.99940735
cell_01438,11.421341,-1.2467792,2.0462053
cell_01439,11.171668,-3.460428,-1.2263333
cell_01440,-1.1712782,6.674074,3.4540684
cell_01441,-3.3265772,3.760375,4.303748
cell_01442,-2.450624,5.131301,3.1884139
cell_01443,-3.1674151,4.8838067,3.4928637
cell_01444,-1.8463963,5.9015884,3.350175
cell_01445,8.888385,1.4898833,-0.7547753
cell_01446,11.547926,-2.7415495,-1.2147043
cell_01447,8.177317,2.3318136,-0.8221517
cell_01448,10.368039,0.22067307,-0.27610815
cell_01449,-1.3211439,5.7734284,4.2401752
cell_01450,10.3928175,-2.7859743,-1.5304722
cell_01451,10.418347,-0.39842913,-0.69690424
cell_01452,11.022929,-2.1510549,2.3653145
cell_01453,10.839051,-2.7838368,1.3029122
cell_01454,1.4860387,6.5090384,2.1289985
cell_01455,-2.2364967,4.640907,3.5982022
cell_01456,-0.39652836,5.1667085,2.7813218
cell_01457,6.1469374,6.034007,1.2156078
cell_01458,11.136924,-3.3766468,1.3178478
cell_01459,3.0901191,6.420406,1.9489924
cell_01460,11.57837,-2.5859432,0.7519938
cell_01461,8.328682,2.5498273,-1.004523
cell_01462,-2.1807716,5.8587565,3.6121423
cell_01463,0.7149539,6.6765,2.4213767
cell_01464,10.643882,-0.8810723,-1.2485815
cell_01465,9.548186,-1.9867742,-0.8571539
cell_01466,5.0397573,6.081243,1.1341499
cell_01467,-1.5293812,6.4837947,3.2311883
cell_01468,10.698971,-2.2430737,-1.159284
cell_01469,-2.3559754,5.4405856,4.070359
cell_01470,11.713519,-1.7535222,1.330678
cell_01471,-1.312887,6.5567017,2.6259334
cell_01472,-2.8245666,4.899787,3.8778195
cell_01473,8.791281,3.348696,-0.6766293
cell_01474,8.004173,2.778099,-0.07674792
cell_01475,8.232468,4.015926,0.02000734
cell_01476,5.974422,5.8232617,1.4979898
cell_01477,10.797859,-3.0738392,-0.5077069
cell_01478,7.2672243,3.8138463,-0.06324546
cell_01479,7.25126,4.852356,0.10573374
cell_01480,4.683232,6.182004,1.2742634
cell_01481,-3.4050875,4.7723527,3.9012566
cell_01482,10.387855,0.3785622,1.0256616
cell_01483,-1.1116532,4.8702,3.4933379
cell_01484,10.557723,-0.575488,-1.1921747
cell_01485,-3.3143497,3.3401492,4.519228
cell_01486,10.2627735,-3.5407336,-0.21948706
cell_01487,6.2397547,5.13412,-0.1421347
cell_01488,11.782696,-1.8806077,-0.15182799
cell_01489,7.1498938,4.8620796,0.551348
cell_01490,-3.8338075,4.33754,4.426803
cell_01491,11.208365,-2.0109687,2.338517
cell_01492,9.955309,-0.8701097,-1.0172032
cell_01493,10.025189,-1.6480279,-0.08070469
cell_01494,4.7693696,6.2944207,0.9796391
cell_01495,10.535485,0.18747075,0.5371451
cell_01496,10.956452,-3.2135866,0.9921585
cell_01497,9.445926,0.47072363,-0.9460753
cell_01498,2.0487747,6.515525,2.1024604
cell_01499,10.622285,-1.1494848,-0.82607204
cell_01500,9.717715,-2.0277698,-0.6506522
cell_01501,11.392768,-2.0230083,2.4053702
cell_01502,2.8121257,6.730434,2.3005683
cell_01503,5.2208743,6.327287,0.9218024
cell_01504,11.074077,-1.7635641,2.8298247
cell_01505,7.453758,4.3336253,-0.32682317
cell_01506,11.107298,-2.1914713,-1.3509402
cell_01507,6.0709863,5.041347,0.10539173
cell_01508,-1.1098726,6.2814918,2.8881824
cell_01509,11.731641,-1.8664807,0.030709809
cell_01510,-2.1474051,5.020703,3.9766243
cell_01511,-1.2196947,6.6754656,3.4898238
cell_01512,9.513599,-0.60622126,-1.2855968
cell_01513,10.849858,-2.0262387,-0.4137558
cell_01514,10.479672,-3.3882463,-0.3352326
cell_01515,-0.55784917,6.5953674,2.559541
cell_01516,-1.8326186,5.005092,4.071019
cell_01517,11.667741,-1.372448,0.56040764
cell_01518,-1.4034863,6.1810546,3.3626137
cell_01519,-2.2607787,5.846312,3.1011739
cell_01520,-0.00012746482,5.800881,2.485615
cell_01521,7.921555,2.8631895,-0.6040626
cell_01522,10.946366,-3.130651,-0.31066784
cell_01523,10.527674,-2.971679,-0.82443273
cell_01524,10.106519,-1.1271319,1.5443226
cell_01525,-1.4035525,5.6928234,2.9089866
cell_01526,1.8955548,6.791029,1.8603418
cell_01527,6.9263854,4.9724298,0.06940253
cell_01528,-1.0722469,4.9523377,3.5114002
cell_01529,-1.5126822,6.4319916,2.699007
cell_01530,0.898229,6.242963,3.3440506
cell_01531,-2.0972695,4.923648,4.632677
cell_01532,9.643667,1.8430356,0.24125099
cell_01533,10.624191,-0.6958766,1.4486308
cell_01534,-3.6524744,4.0150876,4.3063765
cell_01535,6.609123,4.6019053,-0.0881547
cell_01536,10.959146,-1.9044923,0.07897165
cell_01537,9.968944,-3.1414592,-1.2245513
cell_01538,11.440889,-0.9563481,0.31202397
cell_01539,5.636159,5.6892185,0.7914649
cell_01540,10.641493,-2.6010487,0.52561665
cell_01541,-1.2907816,6.0096827,3.5457082
cell_01542,2.5777373,6.974343,2.0422406
cell_01543,-1.7551286,4.5903115,3.5310447
cell_01544,6.7403607,4.8078055,0.47993737
cell_01545,3.4001346,6.539598,1.6807724
cell_01546,-1.7281394,6.3410273,3.1848516
cell_01547,11.6880045,-1.3772975,0.5360405
cell_01548,0.67499894,6.0401235,2.855815
cell_01549,-1.1812309,5.626933,2.5737376
cell_01550,-3.3351843,5.0444098,4.6119576
cell_01551,6.2225127,5.831399,1.5083729
cell_01552,0.7801206,5.835755,2.521448
cell_01553,2.3864653,6.6539454,2.7737134
cell_01554,-0.58839256,6.0486894,3.246793
cell_01555,11.582232,-1.3726187,0.54107636
cell_01556,11.377548,-1.8124694,1.4844673
cell_01557,7.9585567,3.978865,-0.04393398
cell_01558,9.735813,-1.3394083,-0.6574655
cell_01559,10.421098,-3.1551998,0.5809073
cell_01560,10.425177,-2.6593409,1.3043414
cell_01561,10.597947,0.5152739,0.69657123
cell_01562,10.506632,-3.8230927,0.3740545
cell_01563,10.722664,-1.4381413,1.6248822
cell_01564,10.415361,-3.653692,0.29371852
cell_01565,6.4921165,5.1546483,0.6486115
cell_01566,-3.2477255,4.1598473,4.2040944
cell_01567,-4.486432,3.5897317,4.994914
cell_01568,7.362367,4.9822445,0.29767308
cell_01569,7.9520497,4.181253,-0.23976055
cell_01570,3.8982038,6.6765823,1.2151428
cell_01571,9.781464,1.3346354,0.34235182
cell_01572,9.413078,1.882909,0.5028899
cell_01573,10.711556,-1.5903095,2.2266166
cell_01574,-2.7182748,5.0789804,3.2778966
cell_01575,-1.5262748,5.6190834,2.8457215
cell_01576,10.91322,-2.8886077,-0.36694565
cell_01577,10.635132,-2.995274,0.7339731
cell_01578,11.344067,-3.0612423,-0.051020984
cell_01579,10.49566,-3.2951987,0.8992896
cell_01580,10.25907,-3.918819,-0.18819138
cell_01581,0.20981,6.974658,2.561746
cell_01582,3.657399,6.1492653,2.0704422
cell_01583,-0.15433724,5.3748593,3.1424851
cell_01584,9.613331,1.0147247,0.3086183
cell_01585,10.398044,-4.0582275,0.53742236
cell_01586,0.96024483,6.929694,2.3060079
cell_01587,9.287518,1.7220788,-0.9464589
cell_01588,-0.3448608,6.9803905,2.8989878
cell_01589,-1.6942277,5.215075,2.8657546
cell_01590,-0.94791293,4.730286,3.103127
cell_01591,-3.143247,3.7733676,4.0046487
cell_01592,10.088234,-3.891797,-0.5818894
cell_01593,3.7711525,6.24589,2.5458846
cell_01594,10.498224,-3.0482674,-0.123079695
cell_01595,10.218197,-1.23531,1.3546802
cell_01596,-1.5118946,4.99803,2.9338434
cell_01597,-1.5340858,6.1987514,3.94788
cell_01598,10.497625,-2.0212934,-0.23733483
cell_01599,-0.5442431,6.340561,2.4544868
cell_01600,10.873527,-1.6354043,1.7370255
cell_01601,-1.2486604,4.7288756,4.382165
cell_01602,9.980461,-2.1567943,-1.3281662
cell_01603,10.543151,-3.0780282,-1.0383886
cell_01604,-0.902369,5.8166337,2.733726
cell_01605,-0.4835742,6.6215925,2.4688606
cell_01606,10.289894,-4.341589,-0.33290088
cell_01607,-0.38489506,5.65811,3.1439805
cell_01608,4.7736278,6.35838,1.0242614
cell_01609,5.929777,6.038194,1.2097383
cell_01610,-0.6624981,6.0016584,2.9446964
cell_01611,11.510104,-1.8881469,-0.16673143
cell_01612,11.213987,-0.49746814,1.2614762
cell_01613,2.9014263,6.5508723,1.9067035
cell_01614,10.442811,-3.0133245,0.12828796
cell_01615,-1.1621007,5.2633915,3.783384
cell_01616,-4.074576,3.1708577,4.478184
cell_01617,9.214842,1.2734892,-1.19892
cell_01618,10.607835,-3.8910217,-1.2998445
cell_01619,-3.6496768,4.6358395,4.78374
cell_01620,-1.8659492,6.2692733,2.9970427
cell_01621,8.351058,3.046132,-1.0453501
cell_01622,11.40106,-2.7200327,0.92253584
cell_01623,-2.496914,3.8688054,3.825785
cell_01624,4.127336,6.7564454,1.9157114
cell_01625,11.765348,-2.3307874,0.14723662
cell_01626,3.0349326,6.8808928,1.4469618
cell_01627,-1.2759749,5.5084767,2.3887236
cell_01628,-0.96198416,4.922326,3.4054492
cell_01629,4.8849244,6.064608,1.8520731
cell_01630,7.638282,4.7113504,0.3885571
cell_01631,10.636318,-4.1095023,-0.20772132
cell_01632,11.084113,-1.2369457,-1.3143818
cell_01633,10.72912,-2.020273,0.4546831
cell_01634,10.801943,-2.454576,-0.78748405
cell_01635,4.314982,6.4965343,1.5634009
cell_01636,4.36831,6.8171034,1.5602503
cell_01637,11.026649,-3.6865242,-0.38406694
cell_01638,-1.3437814,6.5700827,2.5461814
cell_01639,10.973904,-2.4589028,-1.6214988
cell_01640,10.557858,-1.64156,-1.190959
cell_01641,-2.955693,4.9154987,4.6276193
cell_01642,7.396615,4.8967867,0.8232401
cell_01643,-0.062986106,5.100721,3.7840204
cell_01644,-0.5523973,4.8923864,3.040268
cell_01645,6.102778,5.4166927,0.2747162
cell_01646,0.18775123,6.3856907,2.6929765
cell_01647,10.824186,-2.8244584,1.0114495
cell_01648,10.495343,-4.0988846,-1.2670013
cell_01649,10.5842905,-3.8156047,-0.5700297
cell_01650,-0.5229203,5.5729375,3.4714067
cell_01651,-0.0022483356,6.2759147,3.165869
cell_01652,-0.43497133,5.164282,2.6102777
cell_01653,-2.2401109,5.4156184,3.762001
cell_01654,9.910216,-2.315838,-1.0762608
cell_01655,3.8436084,6.7108855,1.9030914
cell_01656,-1.2297883,6.522381,3.0529115
cell_01657,9.86333,-3.277468,-0.7777799
cell_01658,4.676451,6.249208,2.2832706
cell_01659,-2.9151638,3.5914624,4.5166984
cell_01660,-1.9596775,5.2896194,3.400487
cell_01661,9.981978,-0.19520393,-1.2333723
cell_01662,11.806136,-2.0023553,0.39096683
cell_01663,-1.1667111,6.0604916,3.7458045
cell_01664,11.004921,-3.0306902,0.6187258
cell_01665,11.263575,-2.4093962,2.0956068
cell_01666,9.825456,-2.9625144,-1.1549919
cell_01667,-1.0989689,5.4228177,2.8064573
cell_01668,-3.507084,3.2544634,4.3511086
cell_01669,10.851444,-3.389707,-0.75453645
cell_01670,0.25510082,5.9086437,2.4180756
cell_01671,10.131391,0.14750601,-1.0905477
cell_01672,10.759773,-2.376752,-1.5051153
cell_01673,-2.5732002,5.503689,3.4284322
cell_01674,10.998155,-2.6554606,-2.0285537
cell_01675,11.289597,-2.6788158,1.0672004
cell_01676,10.016411,-3.6291237,-0.58925235
cell_01677,5.5537267,5.8203087,1.207929
cell_01678,11.441707,-1.457596,0.24081677
cell_01679,8.107507,2.4688478,-0.41768306
cell_01680,10.549993,-1.6926079,-0.68679506
cell_01681,10.175192,-4.005124,-0.8276636
cell_01682,11.31027,-0.9492553,2.2585196
cell_01683,0.34580943,5.851043,3.5393507
cell_01684,-2.4762664,4.8576994,4.0374613
cell_01685,-0.17754178,5.574177,2.4511836
cell_01686,8.906745,3.077512,-0.3784717
cell_01687,7.7768035,3.5077682,-0.6283031
cell_01688,9.763299,0.11258072,0.784401
cell_01689,3.9399612,6.312504,2.3482866
cell_01690,10.999359,-2.5238354,1.6790208
cell_01691,11.431184,-2.361539,-1.3306855
cell_01692,-0.53358185,5.638042,2.2720852
cell_01693,11.240806,-2.062626,-1.6052492
cell_01694,10.516084,-1.29147,-0.29111394
cell_01695,8.7002125,2.9675193,-0.06262006
cell_01696,-1.7883787,5.4179263,3.7759786
cell_01697,10.618261,-3.9595683,-0.36395586
cell_01698,11.889789,-2.3793283,0.7898048
cell_01699,9.326234,-2.580562,-1.3875232
cell_01700,11.063912,-2.6913748,-0.19584288
cell_01701,11.20364,-3.384116,-0.07383428
cell_01702,1.7107404,6.5078993,2.2753851
cell_01703,10.301459,-0.42014512,0.9414488
cell_01704,6.688383,4.779161,0.3571642
cell_01705,10.552507,-1.9758188,-0.98096776
cell_01706,-3.0745773,4.8961253,4.542757
cell_01707,4.4575405,6.5630774,1.2468522
cell_01708,10.990138,-2.1660836,2.1347015
cell_01709,-0.59770095,5.8263936,2.832605
cell_01710,10.430858,-3.5517058,0.16481546
cell_01711,2.8709934,6.812959,2.1558704
cell_01712,10.619364,-3.856285,-1.4886132
cell_01713,11.426101,-1.6469841,1.3274127
cell_01714,0.40982357,5.5993595,2.6270905
cell_01715,10.456374,-4.126315,-0.08454803
cell_01716,0.8954736,6.6377563,2.6373312
cell_01717,9.897123,1.0541941,-1.0337948
cell_01718,10.340807,-1.3257403,-0.99652123
cell_01719,11.271472,-2.549353,-1.1353394
cell_01720,-4.2312245,3.1871552,5.1049867
cell_01721,-1.2548941,4.988693,3.1236317
cell_01722,10.830232,-2.315089,-0.42715752
cell_01723,9.32592,1.6540872,-0.8757185
cell_01724,7.0859876,4.468501,-0.5308707
cell_01725,-2.6474736,4.2755146,4.834778
cell_01726,1.0700883,7.0299115,2.5728145
cell_01727,10.4785185,-4.3996325,-1.3157759
cell_01728,-4.5713,3.5219872,4.4746985
cell_01729,4.2484336,6.678763,1.9733868
cell_01730,10.998611,-2.5721457,-0.06067392
cell_01731,-3.4046524,3.8430402,4.776302
cell_01732,10.477596,-1.5109215,-0.87084824
cell_01733,-0.38179135,6.356313,2.2763298
cell_01734,11.491231,-3.3492286,-1.2368368
cell_01735,10.701158,-1.9512162,-0.9832601
cell_01736,10.827394,-3.6683745,-0.613326
cell_01737,-1.386877,4.5947576,3.548122
cell_01738,9.124402,2.573831,-0.24727757
cell_01739,11.106349,-2.0603209,-1.3008522
cell_01740,-0.27657253,6.085102,3.9505794
cell_01741,-1.3112193,5.9921713,2.6746902
cell_01742,-4.301551,3.7824793,5.160214
cell_01743,10.933583,-4.1507998,-1.2594608
cell_01744,10.27468,-1.1214485,0.7531554
cell_01745,9.866264,-0.053399686,0.75548685
cell_01746,10.153504,-2.9754074,-0.060627446
cell_01747,9.383976,1.9839004,-0.7538895
cell_01748,6.711198,4.9737406,-0.34402186
cell_01749,6.0091124,5.3765717,1.0658091
cell_01750,9.6301365,-0.7578358,-0.7825609
cell_01751,-0.652723,5.151363,3.1129212
cell_01752,10.9912815,-3.5317643,-1.9083443
cell_01753,10.376292,-3.1904247,0.34528443
cell_01754,1.2911438,6.7257175,2.4149034
cell_01755,9.230912,1.8284389,-1.0709219
cell_01756,-1.8355134,5.637213,4.091894
cell_01757,10.101695,-3.5186758,-0.66358846
cell_01758,9.734704,-3.7730808,-0.14054473
cell_01759,10.60337,-2.1952457,2.4074285
cell_01760,0.7272006,6.8714275,2.4576259
cell_01761,-1.8325521,6.3907366,3.870121
cell_01762,-1.3190076,5.1073284,3.3876753
cell_01763,-2.7807896,5.11256,4.02873
cell_01764,-2.4755683,4.8429756,4.4759674
cell_01765,-3.7256777,4.3338304,4.5089264
cell_01766,11.304775,-1.3288329,2.1846514
cell_01767,-2.1925485,4.175108,4.158596
cell_01768,-1.6686131,5.308702,3.2859812
cell_01769,10.874543,-1.8182423,2.490823
cell_01770,9.180527,0.8461372,-0.2537272
cell_01771,10.426846,-2.632432,-0.308748
cell_01772,10.844781,0.16134366,1.0754211
cell_01773,11.316479,-1.3176737,2.3924305
cell_01774,10.574276,-1.0683985,0.31063893
cell_01775,8.59959,3.370448,-0.3059704
cell_01776,9.9821,-2.4489558,-0.15758571
cell_01777,5.2475195,5.8289094,0.7872895
cell_01778,1.434414,7.040764,2.667593
cell_01779,6.5419617,5.0664563,-0.035524134
cell_01780,-1.7172458,6.0729218,3.9472585
cell_01781,10.275999,-3.5161307,-0.7326219
cell_01782,0.002608516,5.6423683,3.788072
cell_01783,-2.0645728,4.4777784,3.752291
cell_01784,-0.93022925,6.2006335,2.9088984
cell_01785,10.824096,-2.5767515,0.82508534
cell_01786,0.8111314,6.574296,3.2451334
cell_01787,10.703067,-1.1794261,-1.496248
cell_01788,10.423004,-3.7508593,-1.3239514
cell_01789,-2.9026077,4.996351,4.320721
cell_01790,11.511667,-1.4282427,1.621498
cell_01791,-0.23662136,5.872126,2.5745816
cell_01792,-0.19846812,5.234794,3.5830574
cell_01793,11.275895,-0.3824222,1.6796745
cell_01794,10.447465,-3.7485933,0.27691033
cell_01795,1.0423553,5.881527,2.694659
cell_01796,9.395795,1.5572863,-1.1309096
cell_01797,0.58397484,6.925507,3.242994
cell_01798,8.871692,2.277271,-0.19846945
cell_01799,10.878012,-0.18301474,1.6737783
cell_01800,10.237344,0.3068994,1.1691065
cell_01801,10.259827,0.8240339,0.4037127
cell_01802,-1.6559188,4.853711,4.197193
cell_01803,10.784021,-0.5988525,-0.8552875
cell_01804,10.514812,-0.88220227,-0.9246329
cell_01805,11.260521,-0.3369808,1.844019
cell_01806,-3.4354682,4.5693455,4.6795926
cell_01807,6.505715,5.2618384,1.1348022
cell_01808,4.4002805,6.339968,0.96555436
cell_01809,-2.5792487,4.316647,3.6805775
cell_01810,-0.4426837,5.2753987,3.579051
cell_01811,5.942528,5.890098,1.2331696
cell_01812,11.61949,-1.9122498,-0.7940277
cell_01813,-0.18329953,6.8705616,3.4454935
cell_01814,11.44409,-1.9106638,-1.0934523
cell_01815,9.384598,2.0914404,0.5426781
cell_01816,10.94801,-1.1888312,2.2358985
cell_01817,6.6391597,5.0586424,0.16045345
